Release Order (oldest→newest),Compressor Version,App External ID,Release Date,App Item ID,Notes / Source
1,4.0,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
2,4.0.1,4139662,,424390742,User Provided
3,4.0.2,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
4,4.0.3,7274433,,424390742,User Provided
5,4.0.4,8007634,,424390742,User Provided
6,4.0.5,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
7,4.0.6,12596436,,424390742,User Provided
8,4.0.7,14682849,,424390742,User Provided
9,4.1,219953160,,424390742,Crash report shows Version 4.1 and App External ID 219953160 (Apple Support Community thread 5774782). https://discussions.apple.com/thread/5774782
10,4.1.1,360972635,,424390742,Crash report shows Version 4.1.1 and App External ID 360972635 (Apple Support Community thread 5939575). https://discussions.apple.com/thread/5939575
11,4.1.2,594492729,,424390742,User Provided
12,4.1.3,668175254,,424390742,User Provided
13,4.2,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
14,4.2.1,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
15,4.2.2,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
16,4.3,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
17,4.3.1,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
18,4.4,824369277,,424390742,User states Compressor 4.4; crash report attachment not publicly accessible; App External ID 824369277 from seed. Apple Community (DE) thread 251943622. https://communities.apple.com/de/thread/251943622
19,4.4.1,826365369,,424390742,User Provided
20,4.4.2,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
21,4.4.3,,,424390742,Placeholder — version listed in Apple release notes (App External ID unknown); source: https://support.apple.com/en-us/102745
22,4.4.4,830431847,2019-03-21,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
23,4.4.5,832315207,2019-10-07,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
24,4.4.6,833483227,2019-12-10,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
25,4.4.7,834607630,2020-08-25,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
26,4.4.8,837625598,2020-09-24,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
27,4.5,838092758,2020-11-12,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
28,4.5.1,839562856,2020-12-14,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
29,4.5.2,840289961,2021-03-04,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
30,4.5.3,841241713,2021-06-17,424390742,CORRECTED (was 842308198) via amp-api-edge
31,4.5.4,842932628,2021-07-08,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
32,4.6,843363202,2021-10-18,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
33,4.6.1,847601240,2022-04-12,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
34,4.6.2,851212147,2022-08-09,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
35,4.6.3,852333341,2022-10-24,424390742,CORRECTED (was 852780591) via amp-api-edge
36,4.6.4,856285713,2023-05-23,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
37,4.6.5,858081833,2023-07-18,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
38,4.6.6,859163438,2023-09-19,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
39,4.7,860602396,2023-11-30,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
40,4.8,861999753,2024-06-20,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
41,4.9,868934276,2024-11-13,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
43,4.9,868934276,2024-11-13,424390742,CORRECTED (was 869662410) via amp-api-edge
44,4.10,873128472,2025-03-27,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
46,4.10,873128472,2025-03-27,424390742,CORRECTED (was 873376740) via amp-api-edge
47,4.10.1,874753582,2025-05-22,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
48,4.11,877851588,2025-09-19,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
49,4.11,877851588,2025-09-19,424390742,CORRECTED (was 878206483) via amp-api-edge
50,4.11.1,878609353,2025-11-13,424390742,API validated via amp-api-edge.apps.apple.com versionHistory
