Release Order (oldest→newest),GarageBand Version,App External ID,Release Date,App Item ID,Notes / Source
1,10.0.3,15985856,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
2,10.0.1,86112662,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
3,10.0.2,337342642,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
4,10.0.3,513162807,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
5,10.1.0,811655132,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
6,10.0.0,813573506,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
7,10.1.2,817004226,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
8,10.1.3,817453930,2016-10-27,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
9,10.1.4,819546190,2016-12-08,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
10,10.1.5,820103969,2017-01-18,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
11,10.1.6,820728589,2017-02-13,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
12,10.2,821040177,2017-06-05,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
13,10.2.0,822303020,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
14,10.3,823246612,2018-06-21,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
15,10.3.0,826409342,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
16,10.3.1,827663380,2018-06-28,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
17,10.3.2,828823975,2018-12-06,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
18,10.3.3,830336527,2019-10-07,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
19,10.3.4,833082318,2019-12-10,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
20,10.3.5,834272330,2020-07-21,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
21,10.3.5,834272330,2020-07-21,682658836,CORRECTED (was 836732248) via amp-api-edge
22,10.3.5,836732248,,682658836,User provided (v10.3.5 confirmed on Mojave and Catalina systems; the previous correction to 834272330 may be incorrect)
23,10.4.0,837032462,2020-11-12,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
23,10.4.0,838179989,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
24,10.4.0,838318608,,682658836,Seed App External ID provided by API | Version via mas bundleVersion lookup
25,10.4.1,839050897,2020-11-12,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
26,10.4.2,839116488,2020-12-10,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
27,10.4.3,839992837,2021-04-06,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
28,10.4.3,839992837,2021-04-06,682658836,CORRECTED (was 840921930) via amp-api-edge
29,10.4.4,841990154,2021-10-18,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
30,10.4.5,844948732,2021-12-09,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
31,10.4.6,845961416,2022-03-14,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
32,10.4.7,848328438,2022-11-01,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
33,10.4.7,848328438,2022-11-01,682658836,CORRECTED (was 853082062) via amp-api-edge
34,10.4.8,853773014,2023-03-07,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
35,10.4.9,855394524,2023-11-06,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
36,,860742469,,682658836,Seed App External ID provided by API
37,10.4.10,861313004,2023-12-05,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
38,10.4.11,862757097,2024-03-12,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
39,10.4.12,866769328,2025-01-30,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
40,,871012635,,682658836,Seed App External ID provided by API
41,10.4.13,877196065,2025-12-16,682658836,API validated via amp-api-edge.apps.apple.com versionHistory
